release_year,release_month,country_x,count_movies,title_x,avg_vote
2020.0,Jan,India,6,mandi,7.6
2020.0,Jan,India,6,bulbul can sing,6.8
2018.0,Feb,India,6,premachi goshta,7.3
2018.0,Feb,India,6,tukaram,7.2
2016.0,Jul,United States,6,king jack,7.0
2016.0,Jul,United States,6,tallulah,6.7
2020.0,Jan,"United Kingdom, United States",6,moon,7.9
2020.0,Jan,"United Kingdom, United States",6,steve jobs,7.2
2018.0,Sep,India,6,pk,8.1
2018.0,Sep,India,6,samantaral,7.6
2019.0,Sep,India,6,article 15,8.2
2019.0,Sep,India,6,ee nagaraniki emaindi,7.9
2018.0,Mar,Canada,6,trailer park boys,7.9
2018.0,Mar,Canada,6,trailer park boys: countdown to liquor day,7.4
2018.0,Dec,India,6,andhadhun,8.3
2018.0,Dec,India,6,power paandi,7.5
2017.0,Apr,India,5,killa,7.9
2017.0,Apr,India,5,dear zindagi,7.6
2016.0,Apr,United States,5,frank and cindy,6.1
2016.0,Apr,United States,5,band of robbers,6.0
2018.0,Mar,United Kingdom,5,requiem,7.0
2018.0,Mar,United Kingdom,5,dad's army,7.0
2017.0,Mar,United Kingdom,4,firstborn,6.3
2017.0,Mar,United Kingdom,4,the riot club,6.0
2019.0,Dec,"United Kingdom, United States",4,goldeneye,7.2
2019.0,Dec,"United Kingdom, United States",4,tomorrow never dies,6.5
2019.0,Mar,United Kingdom,4,layer cake,7.3
2019.0,Mar,United Kingdom,4,pablo,6.6
2018.0,Dec,Australia,4,faraar,7.0
2018.0,Dec,Australia,4,breath,6.7
2019.0,Aug,United Kingdom,4,starred up,7.4
2019.0,Aug,United Kingdom,4,four weddings and a funeral,7.0
2018.0,Sep,Indonesia,4,gie,7.6
2018.0,Sep,Indonesia,4,the sinking of van der wijck,7.6
2019.0,Jan,United Kingdom,4,monty python and the holy grail,8.2
2019.0,Jan,United Kingdom,4,"lock, stock and two smoking barrels",8.2
2019.0,Mar,India,4,sarkar,7.6
2019.0,Mar,India,4,dear dad,6.4
2020.0,Jan,"United States, Germany",4,coach carter,7.3
2020.0,Jan,"United States, Germany",4,final destination 3,5.8
2019.0,Oct,India,4,limitless,7.4
2019.0,Oct,India,4,mehandi circus,7.4
2020.0,Jan,United Kingdom,4,dracula,7.5
2020.0,Jan,United Kingdom,4,mansfield park,7.1
2016.0,Aug,United States,4,fearless,7.1
2016.0,Aug,United States,4,i'll sleep when i'm dead,5.8
2019.0,Apr,Canada,4,the new romantic,5.7
2019.0,Apr,Canada,4,across the line,5.5
2015.0,Oct,United States,4,beasts of no nation,7.7
2015.0,Oct,United States,4,manson family vacation,5.8
2018.0,Sep,Thailand,4,shutter,7.1
2018.0,Sep,Thailand,4,one day,7.0
2019.0,Jan,Indonesia,4,surga yang tak dirindukan,7.8
2019.0,Jan,Indonesia,4,surga yang tak dirindukan 2,7.1
2018.0,Apr,Turkey,4,organize isler,7.4
2018.0,Apr,Turkey,4,ali baba ve 7 cüceler,5.8
2017.0,Dec,United Kingdom,4,pusher,7.4
2017.0,Dec,United Kingdom,4,the trip to spain,6.6
2017.0,Sep,United Kingdom,4,forget me not,5.7
